frquency,impedance,wine_id,wine_name,Unnamed: 10,类别,类别编码
94,1989,1,江小白果立方,,白酒,2
95,1993,1,江小白果立方,,白酒,2
20,1989,1,江小白果立方,,白酒,2
21,2005,1,江小白果立方,,白酒,2
22,2010,1,江小白果立方,,白酒,2
23,1996,1,江小白果立方,,白酒,2
24,1992,1,江小白果立方,,白酒,2
25,1995,1,江小白果立方,,白酒,2
26,2003,1,江小白果立方,,白酒,2
27,2007,1,江小白果立方,,白酒,2
28,2000,1,江小白果立方,,白酒,2
29,1995,1,江小白果立方,,白酒,2
30,1998,1,江小白果立方,,白酒,2
31,1996,1,江小白果立方,,白酒,2
32,1996,1,江小白果立方,,白酒,2
33,2005,1,江小白果立方,,白酒,2
34,2007,1,江小白果立方,,白酒,2
35,1999,1,江小白果立方,,白酒,2
36,1993,1,江小白果立方,,白酒,2
37,1994,1,江小白果立方,,白酒,2
38,1999,1,江小白果立方,,白酒,2
39,2001,1,江小白果立方,,白酒,2
40,2002,1,江小白果立方,,白酒,2
41,2003,1,江小白果立方,,白酒,2
44,1995,1,江小白果立方,,白酒,2
46,1997,1,江小白果立方,,白酒,2
50,2000,1,江小白果立方,,白酒,2
51,1999,1,江小白果立方,,白酒,2
52,2000,1,江小白果立方,,白酒,2
56,1997,1,江小白果立方,,白酒,2
57,1996,1,江小白果立方,,白酒,2
61,2008,1,江小白果立方,,白酒,2
62,2007,1,江小白果立方,,白酒,2
63,2003,1,江小白果立方,,白酒,2
64,1995,1,江小白果立方,,白酒,2
65,1989,1,江小白果立方,,白酒,2
66,1988,1,江小白果立方,,白酒,2
67,1991,1,江小白果立方,,白酒,2
68,1999,1,江小白果立方,,白酒,2
69,2007,1,江小白果立方,,白酒,2
70,2011,1,江小白果立方,,白酒,2
71,2011,1,江小白果立方,,白酒,2
72,2006,1,江小白果立方,,白酒,2
73,2000,1,江小白果立方,,白酒,2
74,1996,1,江小白果立方,,白酒,2
75,1994,1,江小白果立方,,白酒,2
76,1994,1,江小白果立方,,白酒,2
77,1995,1,江小白果立方,,白酒,2
78,1996,1,江小白果立方,,白酒,2
79,1996,1,江小白果立方,,白酒,2
80,1998,1,江小白果立方,,白酒,2
81,1998,1,江小白果立方,,白酒,2
82,2002,1,江小白果立方,,白酒,2
83,2003,1,江小白果立方,,白酒,2
84,2005,1,江小白果立方,,白酒,2
85,2003,1,江小白果立方,,白酒,2
86,2003,1,江小白果立方,,白酒,2
87,2002,1,江小白果立方,,白酒,2
88,2000,1,江小白果立方,,白酒,2
89,1999,1,江小白果立方,,白酒,2
90,1995,1,江小白果立方,,白酒,2
95,1997,1,江小白果立方,,白酒,2
96,2000,1,江小白果立方,,白酒,2
97,2002,1,江小白果立方,,白酒,2
101,2004,1,江小白果立方,,白酒,2
102,2001,1,江小白果立方,,白酒,2
103,1999,1,江小白果立方,,白酒,2
104,1998,1,江小白果立方,,白酒,2
105,1997,1,江小白果立方,,白酒,2
106,1996,1,江小白果立方,,白酒,2
107,1995,1,江小白果立方,,白酒,2
108,1996,1,江小白果立方,,白酒,2
109,1996,1,江小白果立方,,白酒,2
110,1996,1,江小白果立方,,白酒,2
111,1996,1,江小白果立方,,白酒,2
112,1998,1,江小白果立方,,白酒,2
113,1999,1,江小白果立方,,白酒,2
114,2000,1,江小白果立方,,白酒,2
115,2002,1,江小白果立方,,白酒,2
116,2003,1,江小白果立方,,白酒,2
117,2005,1,江小白果立方,,白酒,2
118,2004,1,江小白果立方,,白酒,2
119,2005,1,江小白果立方,,白酒,2
120,2004,1,江小白果立方,,白酒,2
20,1989,1,江小白果立方,,白酒,2
21,2002,1,江小白果立方,,白酒,2
22,2006,1,江小白果立方,,白酒,2
23,1996,1,江小白果立方,,白酒,2
24,1991,1,江小白果立方,,白酒,2
25,1993,1,江小白果立方,,白酒,2
27,2006,1,江小白果立方,,白酒,2
28,1998,1,江小白果立方,,白酒,2
29,1994,1,江小白果立方,,白酒,2
30,1995,1,江小白果立方,,白酒,2
31,1994,1,江小白果立方,,白酒,2
32,1995,1,江小白果立方,,白酒,2
33,2003,1,江小白果立方,,白酒,2
34,2007,1,江小白果立方,,白酒,2
35,2001,1,江小白果立方,,白酒,2
36,1991,1,江小白果立方,,白酒,2
37,1989,1,江小白果立方,,白酒,2
38,1993,1,江小白果立方,,白酒,2
39,1998,1,江小白果立方,,白酒,2
40,2004,1,江小白果立方,,白酒,2
41,2005,1,江小白果立方,,白酒,2
43,1997,1,江小白果立方,,白酒,2
44,1993,1,江小白果立方,,白酒,2
45,1993,1,江小白果立方,,白酒,2
46,1993,1,江小白果立方,,白酒,2
50,2003,1,江小白果立方,,白酒,2
51,2002,1,江小白果立方,,白酒,2
52,2000,1,江小白果立方,,白酒,2
56,1992,1,江小白果立方,,白酒,2
57,1995,1,江小白果立方,,白酒,2
61,2006,1,江小白果立方,,白酒,2
62,2005,1,江小白果立方,,白酒,2
63,2002,1,江小白果立方,,白酒,2
64,1994,1,江小白果立方,,白酒,2
65,1989,1,江小白果立方,,白酒,2
66,1987,1,江小白果立方,,白酒,2
67,1989,1,江小白果立方,,白酒,2
68,1996,1,江小白果立方,,白酒,2
69,2001,1,江小白果立方,,白酒,2
71,2005,1,江小白果立方,,白酒,2
72,2003,1,江小白果立方,,白酒,2
73,2002,1,江小白果立方,,白酒,2
74,2002,1,江小白果立方,,白酒,2
75,1999,1,江小白果立方,,白酒,2
76,1996,1,江小白果立方,,白酒,2
77,1994,1,江小白果立方,,白酒,2
78,1991,1,江小白果立方,,白酒,2
79,1990,1,江小白果立方,,白酒,2
80,1991,1,江小白果立方,,白酒,2
81,1993,1,江小白果立方,,白酒,2
82,1998,1,江小白果立方,,白酒,2
83,2001,1,江小白果立方,,白酒,2
84,2005,1,江小白果立方,,白酒,2
85,2004,1,江小白果立方,,白酒,2
86,2003,1,江小白果立方,,白酒,2
87,2002,1,江小白果立方,,白酒,2
88,2000,1,江小白果立方,,白酒,2
89,1998,1,江小白果立方,,白酒,2
90,1996,1,江小白果立方,,白酒,2
95,1994,1,江小白果立方,,白酒,2
96,1996,1,江小白果立方,,白酒,2
97,1998,1,江小白果立方,,白酒,2
101,2002,1,江小白果立方,,白酒,2
102,2002,1,江小白果立方,,白酒,2
103,2000,1,江小白果立方,,白酒,2
104,1999,1,江小白果立方,,白酒,2
105,1998,1,江小白果立方,,白酒,2
106,1997,1,江小白果立方,,白酒,2
107,1995,1,江小白果立方,,白酒,2
108,1995,1,江小白果立方,,白酒,2
109,1994,1,江小白果立方,,白酒,2
110,1994,1,江小白果立方,,白酒,2
111,1994,1,江小白果立方,,白酒,2
112,1994,1,江小白果立方,,白酒,2
113,1994,1,江小白果立方,,白酒,2
114,1996,1,江小白果立方,,白酒,2
115,1999,1,江小白果立方,,白酒,2
116,2000,1,江小白果立方,,白酒,2
117,2003,1,江小白果立方,,白酒,2
118,2003,1,江小白果立方,,白酒,2
119,2004,1,江小白果立方,,白酒,2
120,2003,1,江小白果立方,,白酒,2
20,1987,1,江小白果立方,,白酒,2
21,1996,1,江小白果立方,,白酒,2
22,2004,1,江小白果立方,,白酒,2
23,2000,1,江小白果立方,,白酒,2
24,1993,1,江小白果立方,,白酒,2
25,1990,1,江小白果立方,,白酒,2
26,1996,1,江小白果立方,,白酒,2
27,2003,1,江小白果立方,,白酒,2
28,1999,1,江小白果立方,,白酒,2
29,1996,1,江小白果立方,,白酒,2
30,1997,1,江小白果立方,,白酒,2
31,1991,1,江小白果立方,,白酒,2
32,1990,1,江小白果立方,,白酒,2
33,1999,1,江小白果立方,,白酒,2
34,2006,1,江小白果立方,,白酒,2
35,2002,1,江小白果立方,,白酒,2
36,1994,1,江小白果立方,,白酒,2
37,1990,1,江小白果立方,,白酒,2
38,1992,1,江小白果立方,,白酒,2
40,1997,1,江小白果立方,,白酒,2
41,2001,1,江小白果立方,,白酒,2
42,2004,1,江小白果立方,,白酒,2
43,2001,1,江小白果立方,,白酒,2
44,1996,1,江小白果立方,,白酒,2
45,1994,1,江小白果立方,,白酒,2
46,1992,1,江小白果立方,,白酒,2
50,2000,1,江小白果立方,,白酒,2
52,2002,1,江小白果立方,,白酒,2
56,1990,1,江小白果立方,,白酒,2
57,1991,1,江小白果立方,,白酒,2
61,2003,1,江小白果立方,,白酒,2
62,2002,1,江小白果立方,,白酒,2
63,2000,1,江小白果立方,,白酒,2
64,1996,1,江小白果立方,,白酒,2
65,1993,1,江小白果立方,,白酒,2
66,1993,1,江小白果立方,,白酒,2
67,1993,1,江小白果立方,,白酒,2
68,1994,1,江小白果立方,,白酒,2
69,1995,1,江小白果立方,,白酒,2
70,1996,1,江小白果立方,,白酒,2
71,1997,1,江小白果立方,,白酒,2
72,1998,1,江小白果立方,,白酒,2
73,2000,1,江小白果立方,,白酒,2
74,2001,1,江小白果立方,,白酒,2
75,2002,1,江小白果立方,,白酒,2
76,2000,1,江小白果立方,,白酒,2
77,1997,1,江小白果立方,,白酒,2
78,1994,1,江小白果立方,,白酒,2
79,1992,1,江小白果立方,,白酒,2
80,1991,1,江小白果立方,,白酒,2
81,1990,1,江小白果立方,,白酒,2
82,1994,1,江小白果立方,,白酒,2
83,1997,1,江小白果立方,,白酒,2
84,2000,1,江小白果立方,,白酒,2
85,2001,1,江小白果立方,,白酒,2
86,2002,1,江小白果立方,,白酒,2
87,2001,1,江小白果立方,,白酒,2
88,2000,1,江小白果立方,,白酒,2
89,1999,1,江小白果立方,,白酒,2
90,1996,1,江小白果立方,,白酒,2
95,1994,1,江小白果立方,,白酒,2
96,1994,1,江小白果立方,,白酒,2
20,1997,1,江小白果立方,,白酒,2
21,2003,1,江小白果立方,,白酒,2
22,1996,1,江小白果立方,,白酒,2
23,1996,1,江小白果立方,,白酒,2
25,2003,1,江小白果立方,,白酒,2
26,2000,1,江小白果立方,,白酒,2
27,1993,1,江小白果立方,,白酒,2
28,1993,1,江小白果立方,,白酒,2
29,2004,1,江小白果立方,,白酒,2
30,2009,1,江小白果立方,,白酒,2
31,2001,1,江小白果立方,,白酒,2
32,1995,1,江小白果立方,,白酒,2
33,1994,1,江小白果立方,,白酒,2
34,1995,1,江小白果立方,,白酒,2
35,1999,1,江小白果立方,,白酒,2
36,2004,1,江小白果立方,,白酒,2
37,2007,1,江小白果立方,,白酒,2
38,2002,1,江小白果立方,,白酒,2
39,1998,1,江小白果立方,,白酒,2
40,1994,1,江小白果立方,,白酒,2
41,1989,1,江小白果立方,,白酒,2
42,1990,1,江小白果立方,,白酒,2
43,2001,1,江小白果立方,,白酒,2
44,2013,1,江小白果立方,,白酒,2
45,2014,1,江小白果立方,,白酒,2
47,1993,1,江小白果立方,,白酒,2
48,1989,1,江小白果立方,,白酒,2
49,1991,1,江小白果立方,,白酒,2
54,2009,1,江小白果立方,,白酒,2
55,2008,1,江小白果立方,,白酒,2
56,2005,1,江小白果立方,,白酒,2
61,1995,1,江小白果立方,,白酒,2
62,1999,1,江小白果立方,,白酒,2
63,2002,1,江小白果立方,,白酒,2
64,2004,1,江小白果立方,,白酒,2
65,2007,1,江小白果立方,,白酒,2
66,2008,1,江小白果立方,,白酒,2
67,2006,1,江小白果立方,,白酒,2
68,2002,1,江小白果立方,,白酒,2
69,1996,1,江小白果立方,,白酒,2
